index,age,male,marr,currmarr,children,educ,postgrad,empl,hours,inc,tran,bwnorm
1185,55,0,1,3,4,12,0,1,1913,16000,0,0
1187,30,0,0,2,0,14,0,1,2730,29000,0,1
1205,42,0,0,2,0,16,0,1,1936,21000,0,0
1211,43,1,1,1,2,16,0,5,1012,1459,100,0
1215,42,0,1,1,0,14,0,1,1525,5084,0,0
1216,44,1,1,1,0,16,0,1,1992,17600,200,0
1230,43,1,1,4,5,12,0,1,1906,36000,0,0
1231,48,0,2,4,0,12,0,1,1985,17000,0,0
1285,62,1,1,3,1,14,0,4,1020,9600,17564,0
1334,48,1,1,1,2,15,0,1,2008,38100,0,0
1346,33,1,1,1,2,12,0,1,2220,36000,0,0
1347,43,1,1,1,3,0,1,1,1810,42657,0,0
1370,44,1,1,4,2,0,1,1,1813,22000,0,0
1371,40,0,2,1,2,0,1,1,2772,14866,0,0
1395,61,1,1,1,5,16,0,1,1880,71155,0,0
1396,63,0,1,1,5,13,0,1,1722,24000,0,0
1397,36,1,0,2,0,14,0,1,1900,13090,0,1
1398,35,1,1,1,2,0,1,1,2450,63000,0,1
1400,32,1,1,1,2,0,1,1,2040,30840,0,1
1421,48,1,2,1,10,14,0,1,2510,14000,0,0
1446,76,1,1,1,2,12,0,4,,10926,12228,0
1452,50,1,2,4,2,12,0,5,1873,17120,2310,0
1453,45,0,2,1,1,12,0,1,2024,12000,0,0
1469,41,0,1,1,3,12,0,1,1778,28800,0,1
1482,41,1,1,1,3,12,0,1,2073,29200,0,0
1483,36,1,1,1,2,12,0,1,1400,27320,4000,0
1489,56,1,1,1,4,0,1,1,2400,53800,0,0
1491,29,1,2,1,0,12,0,1,2000,34200,0,1
1576,60,1,1,1,2,4,0,1,1920,19667,1200,0
1577,54,0,2,3,2,10,0,1,1880,10086,0,0
1607,56,0,1,4,2,16,0,1,1212,23000,0,0
1609,30,1,1,1,3,16,0,1,1170,21996,0,1
1626,54,1,3,1,1,16,0,1,2574,47700,0,0
1641,51,1,1,1,2,16,0,1,2560,4900,36500,0
1656,93,0,2,3,0,12,0,4,,4000,5000,0
1660,51,0,1,1,1,16,0,1,2660,55200,0,0
1665,91,1,2,1,2,15,0,4,,35000,6900,0
1669,61,0,1,4,1,12,0,4,1520,5100,9240,0
1672,62,1,1,1,3,15,0,1,2695,58340,0,0
1673,60,0,1,1,3,16,0,1,1900,24426,0,0
1681,69,0,1,3,7,12,0,6,,2000,21064,0
1682,38,1,1,1,4,0,1,1,2795,280000,0,1
1701,43,1,1,1,4,0,1,1,2440,159000,0,0
1723,47,1,1,1,2,12,0,1,3000,26055,0,0
1724,47,0,1,1,2,12,0,1,2000,18000,0,0
1749,58,0,1,3,2,12,0,1,1683,11000,0,0
1763,43,1,2,1,1,16,0,1,3120,56250,0,1
1777,40,1,1,1,4,16,0,1,2078,61600,0,0
1832,80,1,1,1,5,7,0,4,,11050,6395,0
1834,36,0,1,1,3,12,0,1,1510,2500,0,1
1853,37,1,1,1,5,11,0,1,2590,22081,0,0
1861,68,1,1,3,6,12,0,4,,17127,5448,0
1863,41,0,1,1,3,0,1,1,1640,26000,0,1
1865,36,1,2,1,3,16,0,1,1912,28200,0,1
1882,44,1,2,1,3,0,1,1,2460,42000,0,0
1894,41,0,1,1,0,0,1,3,1484,15500,5600,1
1895,43,1,1,1,0,0,1,1,1432,41150,0,0
1914,33,1,1,1,3,12,0,1,2040,29800,0,0
1920,39,1,2,4,3,12,0,1,1078,12000,0,1
1931,32,1,1,1,2,14,0,1,1996,22680,50,1
1932,47,1,1,4,1,16,0,3,2218,21665,0,1
1944,66,1,0,2,0,16,0,1,280,6850,9336,0
1959,43,0,1,4,1,16,0,1,2832,32035,4956,1
1969,80,0,1,3,2,8,0,6,,1000,4080,0
1971,51,0,2,4,2,12,0,1,1688,15500,0,0
1972,29,1,1,1,1,14,0,1,2300,45100,0,1
1997,33,1,1,1,2,12,0,1,1991,42900,0,0
2018,40,1,1,1,2,0,1,1,2680,51500,0,0
2032,51,1,1,1,2,15,0,1,3390,77750,0,0
2033,51,0,1,3,2,0,1,1,2350,40000,0,0
2050,40,0,1,1,5,14,0,6,872,13000,1800,0
2060,41,1,1,1,5,15,0,7,960,9100,0,0
2063,59,0,3,3,4,13,0,1,2048,17500,0,0
2064,38,0,1,1,2,0,1,1,1855,42000,0,1
2065,31,1,1,1,2,12,0,1,1880,44500,0,1
2071,41,1,1,1,2,16,0,1,2559,32000,0,0
2079,62,1,1,1,2,14,0,1,2000,52000,0,0
2122,60,1,1,3,3,12,0,1,3672,123000,0,0
2124,36,1,2,4,1,0,1,1,2250,52700,0,1
2125,35,0,2,1,0,14,0,1,1469,42000,0,1
2126,30,0,1,1,4,14,0,1,192,8000,46500,1
2154,38,1,3,1,1,16,0,1,3096,200,1560,1
2165,82,0,0,2,0,12,0,4,,10900,7560,0
2171,49,1,1,1,3,16,0,1,1920,47600,0,0
2172,44,0,1,1,3,12,0,1,1800,17000,0,0
2180,77,1,1,1,4,12,0,4,2080,200,3299,0
2182,41,0,2,1,1,12,0,1,2429,25000,0,1
2184,52,1,2,1,5,14,0,3,1584,6000,0,0
2196,69,1,2,3,,12,0,4,,4150,14652,0
2198,36,1,3,1,3,12,0,1,1944,33000,0,0
2218,45,1,0,2,0,0,1,1,2600,52800,0,0
2220,53,0,0,2,1,12,0,1,1800,22119,0,0
2238,40,0,1,4,3,16,0,1,1927,17147,12080,0
2246,44,1,1,1,2,16,0,1,2200,72350,1000,1
2251,69,1,2,1,2,12,0,1,2154,5178,7692,0
2263,58,1,1,1,2,16,0,1,2450,82000,0,0
2264,54,0,1,1,2,14,0,1,1335,25000,0,0
2274,69,1,1,1,3,13,0,4,,7000,22800,0
2276,41,1,2,1,2,16,0,1,2000,58000,0,1
2278,35,0,3,3,1,16,0,1,2450,140000,0,1
2296,66,1,4,1,1,0,1,1,1372,68901,7700,0
2298,37,1,1,1,1,14,0,1,324,3850,4000,0
2318,43,1,1,1,3,16,0,1,2000,22700,0,0
2319,44,0,1,1,3,16,0,1,1432,28700,0,0
2339,52,1,1,1,3,16,0,1,2530,113000,0,0
2340,50,0,1,1,3,0,1,1,1592,40000,0,0
2359,75,1,1,1,6,8,0,1,2000,12000,10080,0
2361,45,1,2,3,2,12,0,1,2695,24025,1464,1
2391,41,1,1,1,3,0,1,1,1920,49110,0,1
2400,41,0,1,1,3,16,0,1,1880,25100,0,0
2406,73,1,2,1,3,12,0,4,,600,19200,0
2408,37,0,1,1,2,0,1,1,1000,4800,0,1
2411,37,1,1,1,2,16,0,1,2500,52400,0,0
2414,85,1,1,1,2,10,0,4,,12000,9360,0
2421,46,1,1,1,3,10,0,1,2358,33000,0,0
2450,85,0,1,3,3,14,0,6,,39000,5879,0
2451,43,1,4,4,2,14,0,1,2465,65000,0,0
2452,49,0,1,4,2,15,0,1,2628,21800,6000,0
2467,64,1,1,1,5,14,0,5,,175,20400,0
2468,60,0,1,3,5,12,0,1,1920,30000,0,0
2469,39,1,1,1,3,15,0,1,2250,32070,0,1
2528,42,1,1,1,3,12,0,1,1616,38075,120,0
2549,65,1,2,1,6,0,1,1,2080,13500,8088,0
2574,43,0,1,1,2,0,1,1,1632,22310,0,0
2580,42,1,1,1,2,12,0,1,3796,33690,0,0
2626,38,1,4,4,4,14,0,1,3040,32000,0,1
2628,34,1,3,1,7,10,0,1,3320,7392,0,1
2671,63,0,1,3,4,12,0,4,,2000,7860,0
2672,40,1,3,1,1,0,1,1,2320,47400,1650,1
2673,28,1,1,1,2,12,0,1,2096,25085,0,1
2675,37,0,1,1,1,14,0,1,2060,29500,0,1
2685,41,1,1,1,1,0,1,1,1758,31500,0,0
2702,57,1,1,1,2,16,0,1,2352,103500,0,0
2703,55,0,1,1,2,13,0,1,3234,40000,0,0
2704,30,1,2,1,1,16,0,1,2223,39100,0,1
2712,84,1,1,3,0,12,0,4,,600,7380,0
2719,38,0,2,1,1,13,0,1,2360,36644,0,1
2720,35,1,2,1,4,14,0,1,1728,36500,2380,1
2738,39,1,1,1,0,16,0,1,2764,26248,0,0
2762,59,1,1,4,4,12,0,1,715,3067,6402,0
2773,88,0,1,3,1,8,0,4,,2000,6000,0
2821,62,1,1,1,11,5,0,1,1012,4500,8216,0
2822,58,0,1,3,11,8,0,1,602,2800,3300,0
2827,35,0,1,1,3,8,0,1,1480,5000,1300,1
2876,34,1,1,1,2,12,0,1,3120,36000,0,0
2880,32,1,1,1,2,12,0,1,2535,17000,225,0
2910,65,1,1,1,5,12,0,4,,5500,29000,0
2912,41,1,1,1,2,16,0,1,1643,34000,5000,1
2938,39,0,1,1,2,11,0,1,1715,12000,0,0
2939,41,1,1,1,3,0,1,1,2430,80300,0,0
2971,72,1,1,3,5,16,0,4,,680,10961,0
2974,38,1,3,1,1,16,0,1,2430,102000,0,1
2975,42,1,3,1,1,0,1,1,2024,67600,0,1
2976,42,1,3,1,4,0,1,1,2585,60500,0,0
3008,64,0,2,3,1,14,0,1,1778,19200,0,0
3009,43,1,1,1,2,12,0,1,2576,75000,0,1
3012,76,1,2,1,3,12,0,1,1645,54040,19472,0
3019,48,0,1,4,2,14,0,1,1980,22500,0,0
3026,62,0,2,3,1,12,0,1,1517,8000,0,0
3028,36,1,3,1,3,12,0,1,2168,47000,7200,1
3044,43,1,2,1,2,0,1,1,3000,162000,0,0
3046,56,1,2,1,2,12,0,1,2402,41900,0,0
3097,38,1,1,1,2,15,0,1,2390,24912,0,0
3103,36,0,1,1,2,12,0,3,1847,7500,0,0
3124,60,1,1,1,2,12,0,1,3037,29300,0,0
3126,35,1,1,4,1,12,0,1,1432,38000,3419,0
3127,30,0,1,1,0,14,0,1,2122,24500,0,0
3153,43,1,1,1,4,16,0,1,1960,50800,0,0
3154,47,1,1,1,3,16,0,1,1645,41269,0,0
3162,66,1,1,1,2,11,0,4,,3900,8100,0
3169,59,1,1,1,3,15,0,1,2450,66000,0,0
3170,48,0,2,1,3,12,0,1,2000,13500,0,0
3173,40,0,2,1,1,16,0,1,1876,32000,0,0
3192,62,1,1,1,2,14,0,4,,5000,25000,0
3194,36,1,1,1,2,13,0,1,1870,25030,0,1
3210,37,1,1,1,2,0,1,1,1840,66200,0,0
3225,53,1,1,1,3,13,0,1,1680,28500,0,0
3226,52,0,1,1,2,12,0,1,2086,34500,0,0
3227,27,0,0,2,0,13,0,1,1773,19650,200,1
3232,66,1,1,1,3,16,0,4,,25000,24200,0
3234,36,1,1,1,2,16,0,1,2205,59000,0,1
3235,34,0,2,1,2,16,0,1,1960,35000,0,1
3244,37,0,1,1,2,0,1,1,1404,25000,0,0
3254,59,0,2,3,5,12,0,6,,1000,0,0
3280,47,1,1,1,4,14,0,1,3038,48309,0,0
3303,66,0,1,3,3,14,0,4,478,30700,44000,0
3346,76,0,1,3,2,12,0,4,,10911,6106,0
3349,39,0,2,1,2,16,0,1,1114,30160,28000,0
3361,63,1,1,1,2,16,0,1,1827,37821,0,0
3363,34,0,1,1,2,16,0,1,2250,69500,0,1
3378,46,1,1,1,2,13,0,1,2536,41080,0,0
3402,47,0,1,1,0,14,0,1,714,600,0,0
3403,60,1,2,1,3,14,0,1,2940,45125,0,0
3429,49,1,1,1,2,13,0,1,1940,38015,0,0
3430,48,0,1,1,2,13,0,1,1040,8985,0,0
3439,55,1,2,1,5,11,0,1,1208,9570,0,0
3460,37,1,1,1,3,11,0,1,1816,11887,840,0
3461,37,1,1,1,3,13,0,1,3084,36000,0,0
3471,45,1,1,3,2,12,0,1,2121,45100,0,0
3487,32,1,2,4,2,10,0,1,2600,8000,0,0
3504,63,1,3,1,3,8,0,4,2160,62000,0,0
3505,58,0,1,1,2,14,0,1,345,1500,0,0
3506,36,0,2,1,2,15,0,1,1548,21000,0,1
3507,34,1,1,1,2,16,0,1,1908,30620,0,1
3512,42,1,2,4,2,14,0,3,2230,24100,1500,0
3518,44,1,2,4,2,12,0,1,5044,52000,0,0
3546,55,1,1,1,2,12,0,1,2142,38000,0,0
3548,32,1,2,4,0,10,0,1,1976,21662,0,0
3558,86,1,1,1,0,8,0,4,,11000,8820,0
3571,79,0,1,3,1,12,0,4,,1500,8300,0
3574,52,1,1,1,3,0,1,1,1900,48300,0,0
3595,53,1,1,1,2,13,0,1,3000,29750,0,0
3608,41,1,0,2,0,16,0,1,2607,54100,0,1
3609,41,0,0,2,0,16,0,1,2160,25000,0,1
3610,36,0,1,1,1,0,1,1,1898,20900,0,1
3615,59,1,1,1,2,0,1,4,2318,69400,0,0
3623,57,1,2,4,2,0,1,1,2772,96600,0,0
3624,55,0,3,1,2,16,0,1,1824,20000,0,0
3640,62,1,1,1,2,16,0,1,1748,70000,0,0
3641,55,0,1,3,2,16,0,1,1568,36000,0,0
3650,57,1,0,2,7,6,0,1,1960,30000,0,0
3670,36,0,1,5,2,14,0,1,2200,5000,2083,1
3689,62,1,1,1,3,16,0,1,2795,165000,0,0
3690,60,0,1,3,3,12,0,1,690,2400,0,0
3691,37,0,1,1,2,16,0,1,1500,25000,0,1
3692,31,0,1,1,1,0,1,1,2600,70000,0,1
3693,34,1,2,1,1,16,0,1,2717,50000,0,1
3700,36,1,1,1,2,14,0,1,2000,43000,5000,0
3711,57,0,1,3,2,11,0,1,1645,16958,0,0
3722,59,0,0,2,0,0,1,6,,4600,19820,0
3746,52,0,1,3,3,10,0,1,1220,2200,0,0
3747,34,1,0,2,0,12,0,1,2650,22525,800,1
3748,31,1,2,1,6,12,0,1,2401,24000,0,0
3789,39,1,1,1,3,16,0,1,1896,58000,0,0
3803,50,1,1,4,2,0,1,1,2497,54000,0,0
3820,67,1,1,1,4,12,0,4,,1100,8448,0
3821,63,0,1,3,4,12,0,1,2300,38850,0,0
3825,32,0,1,1,0,14,0,6,396,1100,0,1
3839,39,1,1,1,4,13,0,1,3760,20600,0,0
3840,37,1,1,1,2,16,0,1,2420,25750,250,0
3845,66,1,3,1,5,8,0,4,592,-10341,14244,0
3846,49,0,1,3,0,12,0,6,1180,19912,0,0
3849,52,1,1,1,1,8,0,1,2041,31000,0,0
3850,49,0,1,1,1,12,0,1,2076,21000,0,0
3854,62,1,0,2,0,0,1,1,1824,12700,9900,0
3858,29,1,1,1,2,12,0,1,3718,15000,0,1
3870,42,1,1,1,3,10,0,1,1928,10000,0,0
3892,59,1,1,1,2,12,0,1,2000,20000,0,0
3894,38,1,2,1,0,12,0,1,1950,19269,0,1
3895,37,1,1,1,3,12,0,1,2244,21020,0,1
3910,43,1,1,1,2,16,0,1,2034,32750,0,1
3914,41,0,1,1,2,14,0,1,1587,13750,0,0
3930,63,1,1,3,2,0,1,1,2232,100000,0,0
3931,62,0,1,1,2,0,1,1,1985,20000,360,0
3933,36,1,1,1,3,0,1,1,2650,36000,0,1
3948,45,1,1,1,3,11,0,1,2550,30350,0,0
3949,46,0,1,3,3,12,0,6,960,8160,3120,0
3962,69,1,2,1,4,12,0,4,,400,12456,0
3965,36,1,1,1,1,12,0,1,3000,41600,0,1
3972,38,0,1,1,1,12,0,6,1395,14000,4000,0
3975,59,1,1,1,7,13,0,3,2015,22150,0,0
3980,35,0,1,1,0,12,0,1,2350,33000,0,1
4006,78,0,2,3,1,11,0,4,,3500,7080,0
4011,44,1,1,1,2,16,0,1,1970,45000,0,1
4013,41,1,1,1,2,0,1,1,1972,39965,0,1
4014,36,1,1,1,2,16,0,1,2600,92750,13,1
4030,45,1,1,1,2,16,0,1,2066,49300,0,0
4031,42,0,1,1,2,12,0,1,2000,27000,0,0
4041,74,0,1,4,1,0,1,4,,12000,17959,0
4042,42,1,0,2,0,16,0,1,2070,53500,0,0
4043,46,1,1,4,2,15,0,1,2080,62000,0,0
4044,42,1,2,4,0,16,0,1,1880,23000,0,0
4056,42,1,1,1,2,16,0,1,2450,42620,0,0
4059,46,0,1,1,2,0,1,1,1424,30200,0,0
4062,45,1,1,1,2,0,1,1,1575,33200,0,0
4065,49,1,1,1,1,16,0,1,2526,42000,0,0
4070,40,1,1,1,0,8,0,1,416,5079,0,0
4071,38,0,1,1,1,11,0,1,1955,16000,0,1
4080,43,1,1,4,2,15,0,1,3060,33000,1000,0
4118,81,0,1,3,0,0,1,4,1180,7600,5562,0
4119,41,1,0,2,0,15,0,1,2600,10680,0,0
4120,40,0,1,4,0,16,0,1,2272,32800,0,0
4139,69,1,1,1,5,12,0,4,872,7300,6343,0
4143,37,0,2,1,0,0,1,1,2484,27000,0,1
4144,41,1,1,1,3,16,0,1,2472,15000,0,1
4150,46,1,1,1,1,16,0,1,1700,17400,0,0
4165,89,0,1,3,2,7,0,4,,2558,6000,0
4168,40,1,1,1,4,13,0,1,2550,12000,0,1
4169,35,0,0,2,0,12,0,1,2080,19500,0,1
4170,46,1,1,1,3,12,0,1,2200,20960,4728,1
4185,38,0,1,1,4,12,0,1,1600,9800,0,0
4207,45,1,2,1,3,12,0,1,4080,42922,0,0
4235,56,1,1,1,2,12,0,1,1984,23050,0,0
4252,41,1,1,1,2,12,0,1,2646,20000,0,1
4258,39,0,1,1,2,12,0,1,1616,15000,0,0
4269,68,1,1,4,3,12,0,4,1560,13400,4140,0
4270,67,0,1,4,3,12,0,4,,200,2760,0
4271,37,1,2,4,3,11,0,1,2000,56000,8658,1
4314,82,1,1,1,5,8,0,4,,2100,7998,0
4316,64,1,3,1,1,8,0,3,2458,9250,6384,0
4322,64,1,2,1,2,13,0,4,935,10000,9328,0
4323,61,0,2,1,3,12,0,1,1968,13000,0,0
4326,41,1,1,1,4,16,0,1,2500,47750,0,1
4348,40,0,1,1,4,12,0,1,684,5750,0,0
4433,34,1,1,1,2,0,1,1,2250,36736,0,1
4483,54,1,1,1,2,12,0,1,2304,40700,0,0
4485,34,1,1,1,0,14,0,1,1839,16630,0,1
4496,27,1,1,1,2,12,0,1,2244,11545,200,1
4516,47,1,1,4,2,12,0,1,1940,28000,0,0
4523,45,1,1,4,3,14,0,1,1890,33221,0,0
4539,37,1,2,1,3,12,0,1,1764,15900,0,0
4553,70,1,1,1,0,16,0,4,54,600,8400,0
4560,47,1,2,1,4,7,0,1,1920,21954,0,0
4577,51,1,1,4,4,13,0,1,2352,27085,0,0
4578,41,0,2,1,4,14,0,1,2272,28580,400,0
4645,48,1,2,3,3,12,0,1,1960,28000,0,0
4646,47,0,1,1,3,12,0,1,1664,7600,0,0
4655,40,0,2,4,2,12,0,1,2125,20000,2000,0
4665,82,1,2,1,3,12,0,4,264,12387,8544,0
4668,44,1,1,1,2,15,0,1,3147,46679,0,0
4672,39,0,1,1,2,12,0,1,1523,10813,0,0
4698,48,0,3,4,3,12,0,1,920,7742,0,0
4717,62,0,1,3,4,14,0,1,1920,23000,0,0
4730,56,1,1,3,2,12,0,1,2874,42000,0,0
4731,58,0,2,1,2,13,0,1,2000,16692,0,0
4743,38,0,1,1,2,12,0,1,2145,42000,0,0
4748,41,1,1,1,2,16,0,1,2677,58252,1044,0
4764,43,1,1,1,2,14,0,1,2746,36000,0,0
4770,66,0,2,4,3,13,0,1,978,11000,9000,0
4771,38,1,2,1,0,0,1,1,3000,31500,3000,0
4783,55,1,1,1,6,16,0,1,1750,32000,0,0
4785,35,0,0,2,0,16,0,1,2290,47000,0,1
4786,31,0,1,1,2,12,0,1,500,12000,0,1
4802,77,1,1,1,2,13,0,4,,6000,23750,0
4805,45,1,2,1,1,16,0,1,2500,40200,0,0
4806,41,0,1,4,1,13,0,1,3200,119200,2640,0
4810,36,0,1,1,0,12,0,1,2028,19800,0,0
4834,42,1,2,1,2,12,0,1,3570,30000,0,0
4843,70,1,1,1,3,12,0,4,,1885,13843,0
4845,42,1,1,1,2,14,0,1,2230,32200,0,1
4862,36,0,1,3,0,12,0,3,640,7000,3400,1
4902,49,0,1,1,0,16,0,1,865,19144,0,0
4904,48,1,1,1,0,0,1,1,1751,53900,1000,0
4926,68,1,1,3,8,12,0,4,,3000,16560,0
4933,33,1,1,4,2,14,0,1,2784,39225,0,1
4934,29,1,1,1,3,13,0,1,3280,30050,0,1
4999,64,1,3,1,0,7,0,3,,5900,35894,0
5004,62,1,2,1,4,11,0,4,2064,27000,0,0
5028,37,1,1,1,3,11,0,1,3570,65000,0,0
5029,32,1,1,1,2,12,0,1,1749,23000,3600,0
5041,83,0,1,3,1,7,0,6,,3000,5568,0
5043,32,1,2,4,2,11,0,1,4032,23293,0,0
5071,62,0,0,2,0,0,1,4,,7300,25000,1
5075,44,1,0,2,0,12,0,1,2192,13152,0,1
5083,38,0,1,1,2,11,0,1,1874,21033,0,1
5116,43,1,1,1,2,11,0,1,2040,23000,0,0
5165,47,1,2,1,2,12,0,1,2232,38000,0,0
5171,30,1,2,1,3,12,0,1,2259,26000,0,0
5199,40,1,2,4,1,13,0,1,2115,21050,0,0
5238,41,0,1,1,2,12,0,1,2000,14000,0,0
5243,31,0,1,1,3,13,0,1,2346,9000,0,0
5254,39,1,1,1,2,12,0,1,1960,26335,0,0
5255,32,1,1,1,3,12,0,1,1629,6800,700,0
5270,80,1,2,1,1,0,1,4,,10000,9000,0
5290,75,1,1,1,2,10,0,4,,27244,11063,0
5292,36,0,1,3,1,14,0,1,1056,6600,16800,1
5299,64,1,2,1,2,6,0,1,1960,6800,15048,0
5301,31,0,1,1,1,12,0,1,1528,42000,3500,0
5315,56,1,1,1,1,16,0,1,2237,87615,0,0
5316,56,0,2,1,1,12,0,1,2540,19385,0,0
5326,67,0,1,4,3,11,0,4,,1600,5215,0
5338,70,1,1,1,4,12,0,4,,4120,13728,0
5340,39,1,1,1,2,0,1,1,2103,70000,0,1
5341,41,1,2,1,1,14,0,1,3855,28250,0,1
5342,36,0,2,1,2,13,0,1,1888,28028,7020,1
5375,47,0,3,5,2,13,0,1,1965,28000,0,0
5381,48,1,3,1,0,16,0,1,2080,56000,0,0
5386,55,1,1,1,1,15,0,1,2006,43100,0,0
5387,47,0,1,1,1,13,0,1,1940,29000,0,0
5390,83,1,3,4,1,12,0,4,,2200,10752,0
5399,53,1,1,1,2,0,1,1,2695,67785,0,0
5400,51,0,1,1,2,16,0,1,854,12500,0,0
5411,51,1,1,1,3,16,0,1,3057,17000,0,0
5412,45,0,1,1,3,15,0,1,2360,56200,0,0
5419,71,1,1,1,4,16,0,4,1310,14000,6500,0
5421,43,1,1,1,2,16,0,1,2695,84500,0,1
5422,41,1,1,1,2,0,1,1,2104,64120,0,1
5424,34,1,1,1,2,0,1,1,3088,104183,0,1
5437,40,1,1,1,3,0,1,1,2838,635000,0,0
5447,49,1,1,4,0,7,0,1,2015,14000,0,0
5464,41,1,1,1,2,12,0,1,4056,36790,0,0
5479,45,0,4,4,3,0,1,1,2429,40000,0,0
5499,43,1,2,1,2,15,0,1,2563,65300,0,0
5511,37,1,1,1,2,12,0,1,1998,9000,400,0
5540,57,1,1,1,2,13,0,1,2605,85300,10884,0
